Sitio 0
0.000000, 0.000000, 0
0.268402, 0.217009, 0
0.231430, 0.220132, 1
0.234541, 0.208561, 0
0.213407, 0.209072, 1
0.223969, 0.182584, 1
0.234133, 0.149344, 1
0.243720, 0.137637, 1
0.244921, 0.125451, 1
0.267130, 0.113205, 1
0.267974, 0.094896, -1
0.187582, 0.096729, 1
0.190870, 0.087350, 1
0.191750, 0.080935, -1
0.134225, 0.083691, 1
0.139673, 0.066371, 1
0.144824, 0.059423, -1
0.192600, 0.061484, 0
0.218203, 0.064021, -1
0.152742, 0.064453, 1
0.220356, 0.047112, -1
0.154249, 0.047583, 1
0.159295, 0.047362, 1
0.171734, 0.044569, 0
0.165037, 0.046597, -1
0.242813, 0.048234, -1
0.169969, 0.049846, 1
0.175464, 0.037551, 1
0.180790, 0.022744, -1
0.126553, 0.023237, 1
0.135426, 0.011103, -1
0.117673, 0.011313, -1
0.096699, 0.011486, -1
0.067689, 0.011764, 1
0.069311, 0.004887, -1
0.048518, 0.004936, -1
0.033963, 0.005020, -1
0.027178, 0.005097, 1
0.027985, 0.003411, -1
0.022684, 0.003474, -1
0.015879, 0.003508, 1
0.315006, 0.002714, -1
0.220504, 0.002769, -1
0.154353, 0.002803, -1
0.108047, 0.002877, -1
0.075633, 0.002903, -1
0.062971, 0.002939, -1
0.044079, 0.002995, -1
0.025959, 0.003102, -1
0.018171, 0.003237, 1
0.019946, 0.002329, -1
0.310453, 0.002370, -1
0.167536, 0.002459, -1
0.117275, 0.002521, -1
0.106522, 0.002546, -1
0.074565, 0.002548, -1
0.059823, 0.002574, -1
0.041876, 0.002606, -1
0.029313, 0.002701, -1
0.173409, 0.002743, -1
0.121386, 0.002861, -1
0.109777, 0.002928, -1
0.076844, 0.002958, -1
0.053268, 0.003094, -1
0.035826, 0.003202, -1
0.025078, 0.003357, 0
0.135102, 0.003485, -1
0.094571, 0.003606, -1
0.066200, 0.003656, -1
0.044161, 0.003800, -1
0.023087, 0.003891, -1
0.317563, 0.004061, -1
0.189212, 0.004157, -1
0.132448, 0.004174, -1
0.092714, 0.004216, -1
0.064900, 0.004258, -1
0.045953, 0.004300, -1
0.032296, 0.004377, 1
0.034741, 0.001106, -1
0.024319, 0.001130, -1
0.024114, 0.001141, -1
0.022311, 0.001153, -1
0.016098, 0.001162, -1
0.011268, 0.001165, -1
0.043770, 0.001177, -1
0.030639, 0.001189, -1
0.026716, 0.001214, -1
0.018701, 0.001254, -1
0.013673, 0.001315, -1
0.288927, 0.001367, -1
0.202249, 0.001418, -1
0.141574, 0.001487, -1
0.099102, 0.001502, -1
0.073843, 0.001511, -1
0.051690, 0.001516, -1
0.047559, 0.001586, -1
0.046376, 0.001647, -1
0.030528, 0.001664, -1
0.021369, 0.001706, -1
0.014959, 0.001719, -1
0.018399, 0.001774, -1
0.009349, 0.001852, -1
0.218803, 0.001870, -1
0.144002, 0.001914, -1
0.100801, 0.001933, -1
0.070561, 0.001971, -1
0.049393, 0.002006, -1
0.034575, 0.002021, -1
0.034437, 0.002027, -1
0.033054, 0.002029, -1
0.023138, 0.002123, -1
0.016197, 0.002136, -1
0.011338, 0.002157, 0
0.237242, 0.002216, -1
0.166069, 0.002238, -1
0.116248, 0.002261, -1
0.081374, 0.002370, -1
0.056962, 0.002473, -1
0.039873, 0.002561, -1
0.027911, 0.002661, -1
0.027650, 0.002688, -1
0.019355, 0.002738, -1
0.199848, 0.002765, -1
0.139893, 0.002773, -1
0.097925, 0.002780, -1
0.068548, 0.002870, -1
0.050398, 0.002892, -1
0.035278, 0.002904, -1
0.024695, 0.002970, -1
0.031610, 0.002999, -1
0.016212, 0.003005, -1
0.221347, 0.003053, -1
0.154943, 0.003141, -1
0.141281, 0.003289, -1
0.096616, 0.003389, -1
0.067631, 0.003421, -1
0.047342, 0.003531, -1
0.033139, 0.003701, -1
0.158304, 0.003743, -1
0.110813, 0.003745, -1
0.077569, 0.003798, -1
0.054298, 0.003849, -1
